rainfall        Mean rainfall (mm)
1950        676
1951        578
1952        95
1953        462
1954        472
1955        699
1956        479
1957        431
1958        493
1959        503
1960        415
1961        531
1962        504
1963        828
1964        679
1965        1244
1966        999
1967        573
1968        596
1969        375
1970        635
1971        497
1972        386
1973        438
1974        568
1975        356
1976        685
1977        825
1978        426
1979        612
